,box,angry,disgust,fear,happy,sad,surprise,neutral,timeline
182,"[397, 217, 218, 301]",0.04,0.0,0.04,0.07,0.69,0.0,0.15,6.066865313250382
183,"[397, 217, 219, 305]",0.03,0.0,0.06,0.08,0.65,0.0,0.17,6.1001997380484605
184,"[399, 217, 218, 304]",0.04,0.0,0.06,0.07,0.68,0.0,0.15,6.13353416284654
185,"[398, 218, 221, 308]",0.03,0.0,0.07,0.06,0.69,0.0,0.14,6.166868587644619
186,"[398, 220, 220, 307]",0.04,0.0,0.06,0.12,0.62,0.0,0.15,6.200203012442698
187,"[399, 219, 221, 308]",0.03,0.0,0.06,0.08,0.72,0.0,0.1,6.233537437240777
188,"[400, 220, 219, 306]",0.03,0.0,0.05,0.07,0.73,0.0,0.11,6.266871862038856
189,"[400, 220, 221, 307]",0.04,0.01,0.05,0.06,0.7,0.0,0.13,6.300206286836935
190,"[399, 220, 221, 308]",0.04,0.01,0.06,0.07,0.69,0.0,0.13,6.333540711635014
191,"[396, 218, 223, 310]",0.04,0.01,0.05,0.1,0.68,0.0,0.12,6.366875136433093
192,"[395, 219, 222, 307]",0.03,0.0,0.04,0.1,0.7,0.0,0.13,6.400209561231172
193,"[393, 218, 223, 310]",0.03,0.0,0.05,0.07,0.72,0.0,0.13,6.433543986029251
194,"[393, 219, 222, 307]",0.03,0.0,0.04,0.13,0.62,0.0,0.18,6.46687841082733
195,"[389, 219, 223, 308]",0.02,0.0,0.06,0.18,0.57,0.0,0.17,6.500212835625409
196,"[391, 220, 220, 305]",0.02,0.0,0.05,0.16,0.63,0.0,0.12,6.533547260423488
197,"[389, 223, 220, 306]",0.02,0.0,0.08,0.18,0.6,0.01,0.11,6.566881685221567
198,"[390, 228, 216, 298]",0.04,0.0,0.1,0.33,0.38,0.0,0.15,6.600216110019646
199,"[413, 247, 193, 253]",0.01,0.0,0.06,0.45,0.33,0.0,0.14,6.633550534817725
200,"[389, 234, 221, 304]",0.02,0.0,0.12,0.15,0.56,0.01,0.14,6.666884959615804
